"","x","y"
"1",0.0133333333333333,3.18842218787025
"2",0.245986394557823,3.24815858248971
"3",0.478639455782313,3.30432011004071
"4",0.711292517006803,3.35473799890242
"5",0.943945578231293,3.4041686248079
"6",1.17659863945578,3.44755545983165
"7",1.40925170068027,3.48537016521744
"8",1.64190476190476,3.51998082111976
"9",1.87455782312925,3.53982083135777
"10",2.10721088435374,3.53717075213643
"11",2.33986394557823,3.51539619211107
"12",2.57251700680272,3.47895503552147
"13",2.80517006802721,3.44133935939032
"14",3.0378231292517,3.40423433399947
"15",3.27047619047619,3.36578482268727
"16",3.50312925170068,3.32413568879207
"17",3.73578231292517,3.27743179565221
"18",3.96843537414966,3.24346864385055
"19",4.20108843537415,3.23881429064056
"20",4.43374149659864,3.25751837828283
"21",4.66639455782313,3.29362362551921
"22",4.89904761904762,3.34117275109158
"23",5.13170068027211,3.39420847374178
"24",5.3643537414966,3.44677351221168
"25",5.59700680272109,3.49291058524314
"26",5.82965986394558,3.527073552474
"27",6.06231292517007,3.54861595381188
"28",6.29496598639456,3.56010444224787
"29",6.52761904761905,3.56416119654746
"30",6.76027210884354,3.56340839547612
"31",6.99292517006803,3.56046821779934
"32",7.22557823129252,3.5579628422826
"33",7.45823129251701,3.55851444769137
"34",7.6908843537415,3.56474521279114
"35",7.92353741496599,3.57368346403941
"36",8.15619047619048,3.57697492921016
"37",8.38884353741497,3.57507398753421
"38",8.62149659863946,3.56861196232476
"39",8.85414965986395,3.558220176895
"40",9.08680272108844,3.54452995455815
"41",9.31945578231293,3.5281726186274
"42",9.55210884353741,3.50977949241597
"43",9.78476190476191,3.48998189923704
"44",10.0174149659864,3.46941116240383
"45",10.2500680272109,3.44869860522953
"46",10.4827210884354,3.42847555102736
"47",10.7153741496599,3.40937332311051
"48",10.9480272108844,3.39202324479218
"49",11.1806802721088,3.37705663938559
"50",11.4133333333333,3.36510483020393
